customer_id,recency_days,tenure_days,frequency,monetary_total,avg_order_value,total_items,distinct_products,active_months,recent_revenue_90d,future_revenue
12429,80,454,7,6580.39,940.06,2832,107,5,1125.4,905.52
12431,27,601,23,9245.09,401.96,3919,220,14,1716.04,1612.88
12432,78,80,3,4016.66,1338.89,1427,75,1,4016.66,1042.66
12433,274,384,5,10992.51,2198.5,9627,163,4,0.0,9588.75
12434,168,289,2,583.54,291.77,215,34,2,0.0,519.89
12435,175,645,5,10075.03,2015.01,3782,81,5,0.0,3850.9
12436,7,7,1,509.01,509.01,211,16,1,509.01,0.0
12437,6,645,32,10543.4,329.48,6875,230,17,836.32,2140.0
12438,48,48,1,890.07,890.07,586,49,1,890.07,2016.78
12439,590,633,2,1158.18,579.09,484,69,2,0.0,0.0
12440,370,625,2,859.2,429.6,331,21,2,0.0,0.0
12441,274,274,1,347.1,347.1,242,11,1,0.0,0.0
12443,640,640,1,485.31,485.31,182,21,1,0.0,0.0
12444,29,79,2,2627.27,1313.63,650,96,2,2627.27,2378.19
12445,328,328,1,301.58,301.58,144,20,1,0.0,133.4
12447,151,151,1,476.49,476.49,190,26,1,0.0,0.0
12449,37,346,4,2405.48,601.37,1386,80,4,777.95,2430.41
12450,64,382,5,688.2,137.64,442,31,5,197.88,0.0
12451,126,437,5,8942.18,1788.44,6889,259,4,0.0,3727.7
12453,42,42,1,707.09,707.09,473,43,1,707.09,0.0
12454,303,329,4,13151.44,3287.86,6697,9,2,0.0,3528.34
12455,35,629,9,5589.45,621.05,2979,181,8,213.06,290.5
12456,39,162,2,2265.4,1132.7,1073,77,2,1325.23,915.64
12457,141,343,4,1699.93,424.98,648,37,2,0.0,1295.98
12458,192,395,3,1272.01,424.0,750,58,3,0.0,505.48
12459,513,513,1,454.36,454.36,258,23,1,0.0,0.0
12460,364,364,1,326.65,326.65,170,18,1,0.0,0.0
12461,2,62,2,826.88,413.44,287,35,2,826.88,0.0
12462,211,211,1,762.11,762.11,287,40,1,0.0,427.48
12463,83,149,3,985.79,328.6,577,51,3,337.84,358.99
12464,14,217,6,780.55,130.09,81,6,4,235.7,431.5
12465,77,77,1,440.94,440.94,294,26,1,440.94,301.25
12466,590,590,1,56.73,56.73,1,1,1,0.0,0.0
12467,331,331,1,132.8,132.8,129,9,1,0.0,0.0
12468,95,590,5,3670.74,734.15,2201,127,5,0.0,0.0
12469,430,444,2,3070.54,1535.27,2552,76,2,0.0,0.0
12470,597,597,1,211.95,211.95,95,23,1,0.0,0.0
12471,15,640,68,31256.14,459.65,13022,213,19,2719.08,8707.65
12472,46,633,17,16236.08,955.06,10290,367,14,1878.76,1644.51
12473,22,99,2,1186.25,593.13,878,60,2,514.06,2752.3
12474,6,574,26,9410.72,361.95,5905,285,15,1642.93,3013.73
12475,317,317,1,426.26,426.26,236,25,1,0.0,723.38
12476,49,409,18,10490.66,582.81,4369,292,10,746.57,3624.75
12477,8,531,6,15890.66,2648.44,4984,276,6,4257.06,4385.71
12480,51,415,6,4328.17,721.36,2341,146,6,557.68,1136.68
12481,87,515,13,10866.83,835.91,6310,213,9,1001.21,1494.56
12482,484,561,29,23691.4,816.94,27042,42,3,0.0,0.0
12483,6,585,17,4259.66,250.57,1854,60,12,309.45,860.92
12484,8,589,10,5491.58,549.16,2939,296,7,2524.48,878.57
12485,437,437,1,708.1,708.1,414,34,1,0.0,0.0
12486,339,339,1,1037.28,1037.28,523,49,1,0.0,0.0
12487,638,638,1,285.3,285.3,174,2,1,0.0,0.0
12489,244,244,1,334.93,334.93,105,15,1,0.0,0.0
12490,1,646,17,7958.3,468.14,4852,171,15,2356.87,1865.34
12492,13,311,2,578.39,289.19,321,30,2,126.39,136.82
12493,73,105,2,433.74,216.87,207,20,2,201.24,0.0
12494,69,484,7,1495.63,213.66,645,62,6,153.22,377.24
12495,548,548,1,357.4,357.4,130,17,1,0.0,0.0
12496,528,528,2,54.09,27.05,33,10,1,0.0,0.0
12497,308,552,2,5205.4,2602.7,4449,30,2,0.0,1043.1
12499,468,468,1,393.72,393.72,302,27,1,0.0,0.0
12500,14,581,14,3471.23,247.94,1969,75,10,563.64,2483.98
12501,244,244,1,2169.39,2169.39,1783,149,1,0.0,0.0
12502,3,217,5,3723.87,744.77,820,102,5,1881.22,0.0
12503,492,492,1,1126.0,1126.0,561,2,1,0.0,0.0
12504,325,504,2,297.0,148.5,368,8,2,0.0,482.05
12505,316,316,1,955.2,955.2,324,42,1,0.0,0.0
12506,140,140,1,73.5,73.5,23,23,1,0.0,0.0
12507,42,492,4,1844.06,461.01,1256,46,3,858.65,0.0
12509,192,192,1,176.5,176.5,55,7,1,0.0,0.0
12510,50,643,9,5178.02,575.34,2049,94,7,301.52,0.0
12511,336,336,1,3084.02,3084.02,1753,190,1,0.0,0.0
12513,20,20,1,612.29,612.29,462,35,1,612.29,0.0
12514,175,549,2,1597.76,798.88,840,76,2,0.0,0.0
12515,261,261,1,383.7,383.7,131,16,1,0.0,0.0
12516,88,507,3,1919.76,639.92,1422,42,3,583.2,728.86
12517,34,98,2,1538.7,769.35,841,173,2,771.75,964.14
12518,18,18,1,324.83,324.83,187,18,1,324.83,1732.06
12519,384,384,1,385.7,385.7,212,22,1,0.0,340.84
12520,50,181,4,2045.85,511.46,1099,104,3,348.29,588.41
12521,50,50,1,599.68,599.68,309,38,1,599.68,0.0
12523,15,640,19,3600.13,189.48,1970,144,15,517.56,772.02
12524,70,577,15,9762.87,650.86,5769,138,11,289.1,1363.24
12525,406,555,3,973.73,324.58,509,56,3,0.0,0.0
12526,2,2,1,520.3,520.3,318,29,1,520.3,796.36
12527,202,437,4,671.72,167.93,513,24,4,0.0,63.79
12528,22,220,4,1287.37,321.84,503,46,4,515.71,646.11
12529,436,436,1,316.48,316.48,192,21,1,0.0,0.0
12530,31,550,8,3318.63,414.83,2400,85,8,416.65,440.63
12531,594,594,1,1807.98,1807.98,1074,110,1,0.0,125.22
12533,535,646,2,1367.89,683.95,704,63,2,0.0,0.0
12534,38,38,1,1089.18,1089.18,651,63,1,1089.18,0.0
12535,94,94,1,371.45,371.45,115,18,1,0.0,344.9
12537,316,316,1,732.94,732.94,449,43,1,0.0,0.0
12538,286,286,1,276.5,276.5,145,13,1,0.0,363.95
12539,170,624,6,10164.09,1694.02,4089,247,4,0.0,1050.66
12540,0,640,27,18101.11,670.41,8767,301,20,2744.34,4153.38
12541,81,188,2,536.14,268.07,419,27,2,223.74,445.04
12542,392,548,2,481.88,240.94,522,39,2,0.0,0.0
12543,356,356,1,980.25,980.25,688,43,1,0.0,0.0
12545,167,167,1,628.15,628.15,346,34,1,0.0,372.24
12547,105,408,3,383.58,127.86,309,13,3,0.0,0.0
12548,74,74,1,95.2,95.2,49,5,1,95.2,0.0
12549,483,605,6,1575.68,262.61,1366,38,2,0.0,0.0
12551,265,265,1,168.0,168.0,100,10,1,0.0,0.0
12553,18,331,9,3336.06,370.67,1711,96,8,684.97,1272.69
12554,356,356,1,468.5,468.5,240,26,1,0.0,0.0
12555,590,590,1,129.23,129.23,1,1,1,0.0,0.0
12556,59,59,1,312.9,312.9,166,60,1,312.9,290.81
12557,66,630,7,15726.14,2246.59,5862,15,7,4146.34,2990.0
12559,218,227,2,561.71,280.86,283,21,2,0.0,0.0
12560,20,51,2,1436.31,718.15,820,77,2,1436.31,697.7
12561,210,210,1,238.85,238.85,177,16,1,0.0,0.0
12562,34,343,5,2790.41,558.08,1324,68,5,1160.27,2176.51
12563,316,316,1,249.24,249.24,113,13,1,0.0,0.0
12564,169,169,1,456.9,456.9,133,21,1,0.0,0.0
12565,196,196,1,145.92,145.92,80,9,1,0.0,0.0
12567,4,574,14,12158.56,868.47,5314,315,11,3392.98,1551.3
12568,552,552,1,70.0,70.0,48,5,1,0.0,0.0
12569,0,160,15,2167.68,144.51,857,48,6,861.22,1957.01
12570,590,590,1,77.52,77.52,1,1,1,0.0,0.0
12571,29,29,1,248.35,248.35,197,14,1,248.35,271.26
12573,135,373,5,717.41,143.48,479,107,4,0.0,0.0
12574,223,223,1,218.45,218.45,61,11,1,0.0,0.0
12575,365,434,2,622.82,311.41,315,34,2,0.0,0.0
12576,3,434,7,1763.44,251.92,1192,97,7,514.9,379.28
12577,267,644,6,1191.84,198.64,859,195,4,0.0,461.91
12578,238,351,3,3456.6,1152.2,1932,109,3,0.0,1185.85
12580,154,484,2,1052.9,526.45,569,52,2,0.0,0.0
12582,146,485,4,1980.4,495.1,985,88,4,0.0,0.0
12583,14,641,21,11398.27,542.77,7387,117,18,1189.82,3049.17
12584,35,188,4,782.59,195.65,138,27,4,159.85,1555.56
12585,142,259,2,2040.1,1020.05,1279,77,2,0.0,0.0
12586,282,631,3,1865.73,621.91,608,76,3,0.0,196.94
12588,307,505,3,743.88,247.96,385,27,2,0.0,214.9
12589,52,597,7,4180.48,597.21,1541,107,4,131.5,515.18
12590,119,119,2,9864.26,4932.13,4283,68,1,0.0,0.0
12591,225,316,3,1352.15,450.72,677,63,3,0.0,0.0
12592,0,427,5,2582.66,516.53,1875,42,3,205.8,0.0
12593,16,126,3,418.1,139.37,206,14,2,182.1,0.0
12594,29,554,13,4281.79,329.37,2431,78,12,721.95,808.32
12595,412,412,1,299.02,299.02,271,19,1,0.0,0.0
12596,150,150,1,269.95,269.95,156,15,1,0.0,348.32
12597,91,176,2,1428.81,714.4,675,72,2,0.0,2382.41
12598,69,556,7,3095.39,442.2,1913,102,5,298.64,1438.7
12599,34,485,12,2121.18,176.76,1982,42,10,393.18,175.54
12600,20,640,19,4381.44,230.6,1184,48,15,620.6,662.48
12601,97,312,6,681.26,113.54,290,24,6,0.0,0.0
12604,169,169,1,178.5,178.5,137,10,1,0.0,75.68
12605,284,366,4,1232.95,308.24,929,63,3,0.0,0.0
12606,590,590,1,21.0,21.0,1,1,1,0.0,0.0
12608,312,312,1,415.79,415.79,323,16,1,0.0,0.0
12609,94,627,8,3109.74,388.72,1423,117,8,0.0,326.12
12610,14,34,2,1256.25,628.13,625,68,1,1256.25,843.29
12613,105,633,9,4953.21,550.36,3278,173,7,0.0,1881.86
12614,185,185,1,315.6,315.6,76,20,1,0.0,0.0
12615,76,539,5,4084.53,816.91,2354,167,4,634.74,1656.45
12616,3,296,3,1131.1,377.03,498,32,3,457.7,0.0
12619,24,468,6,2227.6,371.27,1896,33,5,1455.8,1553.78
12620,112,112,1,561.66,561.66,434,33,1,0.0,777.75
12621,8,576,30,21281.18,709.37,11932,297,17,2839.22,3494.63
12622,140,140,1,180.1,180.1,69,11,1,0.0,0.0
12623,184,604,7,3747.84,535.41,1971,112,7,0.0,0.0
12624,14,85,2,641.13,320.56,355,36,2,641.13,0.0
12625,119,504,4,5164.88,1291.22,3309,144,4,0.0,0.0
12626,20,234,6,4774.0,795.67,2337,170,4,3499.9,1846.48
12627,4,48,5,2727.83,545.57,1575,112,3,2727.83,1750.7
12629,293,331,2,1558.22,779.11,722,40,2,0.0,0.0
12631,364,601,5,2841.07,568.21,1371,105,4,0.0,640.5
12632,428,472,2,804.88,402.44,694,32,2,0.0,0.0
12633,37,433,6,5462.93,910.49,3144,213,6,219.2,215.23
12634,443,456,2,490.0,245.0,337,20,1,0.0,0.0
12635,62,364,3,1924.87,641.62,1176,106,3,683.64,1005.54
12636,646,646,1,141.0,141.0,1,1,1,0.0,0.0
12637,1,451,10,6677.21,667.72,3407,273,8,1967.05,1663.1
12638,547,547,1,249.8,249.8,86,9,1,0.0,671.69
12639,146,535,3,1312.37,437.46,631,58,3,0.0,0.0
12641,23,23,1,185.9,185.9,72,10,1,185.9,0.0
12642,15,15,1,366.45,366.45,277,24,1,366.45,646.81
12643,36,519,12,8350.42,695.87,4785,14,10,1452.72,0.0
12644,37,602,4,1918.49,479.62,1032,106,4,477.91,0.0
12645,17,576,7,3074.98,439.28,1866,106,7,511.96,464.32
12647,34,603,33,17088.24,517.83,6486,229,17,584.4,836.11
12648,62,609,4,1112.0,278.0,518,38,4,318.05,0.0
12649,15,604,8,2294.65,286.83,1959,94,6,248.51,0.0
12651,242,373,4,377.75,94.44,265,30,4,0.0,0.0
12652,239,342,2,1017.03,508.51,536,51,2,0.0,0.0
12653,56,434,3,4160.83,1386.94,1681,76,3,1430.75,0.0
12654,105,203,3,337.75,112.58,151,19,2,0.0,264.23
12655,331,331,1,261.35,261.35,80,16,1,0.0,0.0
12656,24,470,6,5177.33,862.89,2417,140,6,1161.07,1230.5
12661,344,344,1,162.0,162.0,216,11,1,0.0,0.0
12662,15,525,16,5791.9,361.99,2923,135,14,815.58,1196.12
12663,532,576,2,239.4,119.7,181,9,2,0.0,0.0
12664,51,634,5,3145.64,629.13,797,10,5,653.9,2924.4
12665,232,577,3,313.6,104.53,165,13,3,0.0,0.0
12666,302,302,1,1248.42,1248.42,370,31,1,0.0,0.0
12668,167,585,9,10562.0,1173.56,4776,258,8,0.0,882.68
12669,58,164,3,2744.03,914.68,1115,98,3,471.43,0.0
12670,6,574,5,2398.71,479.74,991,54,5,608.08,1361.58
12671,514,514,1,2622.48,2622.48,1460,45,1,0.0,0.0
12672,237,503,2,437.05,218.53,138,22,2,0.0,0.0
12673,234,309,2,840.4,420.2,520,52,2,0.0,389.62
12674,78,115,2,976.8,488.4,494,30,2,390.06,993.8
12675,461,486,2,958.5,479.25,337,111,2,0.0,0.0
12676,31,391,9,2509.75,278.86,1691,58,6,169.1,333.34
12677,463,574,2,395.1,197.55,176,13,2,0.0,0.0
12678,8,609,18,24934.98,1385.28,16644,186,14,2390.9,9346.2
12679,113,191,2,906.38,453.19,407,43,2,0.0,206.64
12680,21,21,1,311.78,311.78,230,20,1,311.78,569.03
12681,59,634,38,26947.32,709.14,15479,424,18,1111.74,3920.96
12682,8,646,41,19965.61,486.97,8974,281,21,2942.63,4068.3
12683,0,634,18,10842.4,602.36,6676,224,11,1535.26,1854.38
12684,78,121,4,1379.48,344.87,1274,37,2,462.38,904.15
12685,0,1,2,1606.42,803.21,917,83,1,1606.42,1256.66
12686,279,279,1,178.28,178.28,214,7,1,0.0,0.0
12687,388,388,2,2138.91,1069.45,1403,126,1,0.0,0.0
12688,21,21,1,4873.81,4873.81,3028,171,1,4873.81,0.0
12689,35,35,1,511.03,511.03,281,34,1,511.03,736.58
12690,113,113,1,389.01,389.01,106,16,1,0.0,0.0
12691,53,328,5,690.9,138.18,249,20,4,150.1,479.5
12692,545,545,1,110.95,110.95,36,13,1,0.0,0.0
12693,35,430,7,1703.02,243.29,536,63,7,225.14,0.0
12694,91,329,2,1413.18,706.59,1169,62,2,0.0,430.17
12695,15,573,5,1158.92,231.78,406,41,5,244.65,248.2
12696,342,416,2,851.91,425.95,564,43,2,0.0,0.0
12697,39,77,2,733.91,366.95,359,27,2,733.91,223.68
12698,498,498,1,339.75,339.75,111,16,1,0.0,0.0
12699,325,325,1,638.11,638.11,373,41,1,0.0,0.0
12700,64,123,2,2149.05,1074.53,1376,110,2,1056.62,2790.94
12701,150,541,5,1985.78,397.16,1295,92,3,0.0,460.63
12703,541,592,3,722.98,240.99,431,44,2,0.0,283.55
12704,13,77,3,1100.92,366.97,465,40,2,1100.92,1239.92
12705,66,441,9,9056.33,1006.26,5790,283,8,998.42,2705.77
12707,199,199,1,603.42,603.42,256,33,1,0.0,0.0
12708,9,629,15,4632.96,308.86,2203,115,14,693.6,681.14
12709,4,638,30,28587.61,952.92,12902,189,18,2077.66,2505.73
12710,4,109,3,1149.02,383.01,851,75,3,430.06,0.0
12711,519,584,2,1339.05,669.52,770,56,2,0.0,0.0
12712,14,638,19,6710.61,353.19,2230,123,16,1018.2,483.05
12714,14,643,11,12774.55,1161.32,7963,402,11,1627.78,1319.16
12715,14,14,1,353.86,353.86,197,20,1,353.86,0.0
12716,41,41,1,677.9,677.9,503,45,1,677.9,375.59
12717,59,498,3,1308.91,436.3,600,60,3,421.24,0.0
12720,2,414,22,6168.78,280.4,4729,230,13,1348.07,2091.89
12721,91,379,6,3055.86,509.31,1829,146,6,0.0,957.22
12722,22,58,3,929.65,309.88,559,48,2,929.65,67.98
12724,81,443,5,1566.47,313.29,1112,72,5,125.46,751.05
12725,279,492,4,2694.56,673.64,1306,92,3,0.0,0.0
12726,92,532,9,2872.82,319.2,3417,52,9,0.0,1141.78
12727,3,562,9,5036.53,559.61,2490,114,8,537.3,643.0
12728,165,291,4,851.15,212.79,380,39,4,0.0,219.02
12729,21,21,1,453.01,453.01,233,26,1,453.01,0.0
12730,429,429,1,829.25,829.25,234,47,1,0.0,0.0
12731,52,555,13,18204.05,1400.31,8643,114,12,3094.16,7571.66
12732,87,87,1,236.26,236.26,111,12,1,236.26,0.0
12733,142,597,4,2424.87,606.22,896,117,4,0.0,0.0
12734,260,300,3,639.65,213.22,265,17,2,0.0,0.0
12735,223,245,2,779.57,389.78,368,38,1,0.0,0.0
12736,240,240,1,234.0,234.0,173,4,1,0.0,0.0
12737,406,406,2,3710.5,1855.25,2,2,1,0.0,0.0
12738,280,280,1,310.7,310.7,296,11,1,0.0,0.0
12739,7,302,3,2689.23,896.41,950,85,2,975.54,37.5
12741,437,441,2,406.07,203.03,214,16,1,0.0,0.0
12742,533,533,1,1201.52,1201.52,1359,67,1,0.0,0.0
12743,42,42,2,546.43,273.21,319,114,1,546.43,0.0
12744,52,499,9,18249.74,2027.75,6393,232,5,3949.32,7067.32
12745,394,590,3,925.41,308.47,468,21,3,0.0,0.0
12746,448,448,1,254.55,254.55,97,17,1,0.0,0.0
12747,17,640,23,7849.93,341.3,2345,79,15,678.0,1426.61
12748,1,643,258,36775.92,142.54,22297,1826,22,3878.01,19823.47
12749,38,429,7,5561.71,794.53,1969,219,5,1896.13,1335.65
12750,36,36,1,275.88,275.88,137,15,1,275.88,0.0
12751,352,352,1,268.27,268.27,189,61,1,0.0,0.0
12753,43,270,5,16620.91,3324.18,9211,114,5,3680.4,4808.48
12754,143,216,3,3010.74,1003.58,6481,49,3,0.0,0.0
12755,188,601,11,9030.66,820.97,3781,34,7,0.0,0.0
12757,50,119,7,5281.08,754.44,918,89,3,835.65,2576.02
12758,24,646,7,9903.24,1414.75,6155,187,7,1221.4,0.0
12759,79,643,7,4571.82,653.12,2930,188,7,637.72,448.92
12760,363,363,1,347.8,347.8,198,21,1,0.0,0.0
12761,365,372,2,782.95,391.48,281,27,1,0.0,0.0
12763,46,277,2,814.16,407.08,512,16,2,174.0,0.0
12764,224,224,1,1693.88,1693.88,386,45,1,0.0,0.0
12765,380,549,6,1404.58,234.1,1009,49,5,0.0,0.0
12766,57,315,7,8030.84,1147.26,4295,217,7,936.48,2037.44
12767,283,283,1,949.82,949.82,598,43,1,0.0,0.0
12768,358,358,1,168.69,168.69,102,10,1,0.0,0.0
12769,146,146,1,1143.6,1143.6,356,32,1,0.0,0.0
12770,118,364,2,3246.45,1623.22,1843,19,2,0.0,0.0
12771,393,393,1,282.3,282.3,104,15,1,0.0,0.0
12773,472,472,1,124.25,124.25,109,6,1,0.0,0.0
12774,443,443,1,98.7,98.7,53,6,1,0.0,0.0
12775,97,317,6,1464.76,244.13,946,45,6,0.0,221.36
12776,575,575,1,55.5,55.5,46,4,1,0.0,0.0
12777,365,365,1,519.45,519.45,458,26,1,0.0,0.0
12778,91,510,7,1445.51,206.5,1368,66,6,0.0,330.17
12779,97,644,13,5740.32,441.56,3002,123,13,0.0,981.95
12780,506,506,1,337.4,337.4,285,20,1,0.0,0.0
12781,192,192,1,549.26,549.26,346,15,1,0.0,277.48
12782,57,427,10,4365.99,436.6,1889,135,8,515.72,252.25
12784,437,437,1,1230.33,1230.33,582,72,1,0.0,574.42
12785,272,639,3,1100.4,366.8,453,42,3,0.0,0.0
12786,517,517,1,728.5,728.5,324,18,1,0.0,0.0
12787,100,321,2,556.62,278.31,314,28,2,0.0,305.56
12788,371,436,4,444.9,111.22,194,20,3,0.0,0.0
12789,420,601,2,181.5,90.75,32,2,2,0.0,91.85
12790,100,318,2,591.85,295.93,306,36,2,0.0,0.0
12791,281,532,6,1056.11,176.02,450,17,4,0.0,0.0
12792,164,442,2,827.01,413.5,394,39,2,0.0,0.0
12793,242,309,3,1017.33,339.11,526,34,3,0.0,0.0
12794,6,6,1,317.0,317.0,227,20,1,317.0,543.41
12796,536,536,1,381.0,381.0,182,7,1,0.0,0.0
12797,273,332,2,806.11,403.06,333,27,2,0.0,0.0
12798,78,329,2,3140.93,1570.46,5455,27,2,1607.04,5370.0
12799,437,437,1,219.35,219.35,137,15,1,0.0,0.0
12800,378,584,3,584.25,194.75,284,31,2,0.0,0.0
12801,408,408,1,1071.82,1071.82,505,50,1,0.0,0.0
12802,94,471,7,2416.42,345.2,1972,108,5,0.0,0.0
12803,301,301,1,1092.81,1092.81,872,55,1,0.0,0.0
12804,373,408,2,327.02,163.51,271,60,2,0.0,0.0
12805,289,582,4,1434.95,358.74,593,44,4,0.0,0.0
12806,343,496,4,2878.96,719.74,2087,58,4,0.0,0.0
12807,291,291,1,330.35,330.35,145,16,1,0.0,0.0
12808,92,370,4,703.8,175.95,295,35,3,0.0,202.3
12809,85,555,3,1755.94,585.31,518,75,3,489.31,0.0
12810,442,584,2,534.99,267.5,389,32,2,0.0,0.0
12811,168,335,5,1033.9,206.78,435,47,4,0.0,0.0
12813,409,601,3,1687.8,562.6,1141,37,3,0.0,0.0
12814,9,9,1,125.92,125.92,49,2,1,125.92,0.0
12815,55,106,2,1063.46,531.73,379,38,2,448.1,0.0
12816,3,84,2,572.2,286.1,128,27,2,572.2,0.0
12817,189,342,3,690.98,230.33,219,16,3,0.0,0.0
12818,169,169,1,1542.08,1542.08,929,14,1,0.0,0.0
12819,366,366,1,540.52,540.52,344,19,1,0.0,0.0
12820,234,642,8,1917.64,239.71,1388,91,8,0.0,771.88
12821,122,519,2,220.8,110.4,162,13,2,0.0,0.0
12823,35,587,17,5966.0,350.94,860,1,11,229.5,535.5
12825,429,549,2,518.63,259.31,139,20,2,0.0,0.0
12826,86,629,9,2299.65,255.52,1658,86,7,121.52,656.1
12828,7,38,3,415.51,138.5,157,23,2,415.51,603.2
12829,244,458,3,385.3,128.43,550,17,3,0.0,0.0
12830,42,79,4,5204.0,1301.0,6344,13,2,5204.0,1610.64
12831,170,371,3,451.11,150.37,303,16,2,0.0,0.0
12832,6,6,1,267.8,267.8,132,18,1,267.8,115.23
12833,53,53,1,417.38,417.38,156,24,1,417.38,0.0
12834,190,190,1,312.38,312.38,110,18,1,0.0,0.0
12835,335,644,41,6043.31,147.4,2357,138,11,0.0,0.0
12836,45,646,14,6085.29,434.66,2030,252,13,451.13,500.33
12837,81,477,2,688.41,344.2,209,83,2,134.1,0.0
